heure;adresse_ip_employe;url_consultee;methode_http;code_reponse
00:00:20;192.168.2.2;https://www.google.fr;PUT;OK
00:00:24;192.168.2.2;https://www.office.com;GET;OK
00:01:18;192.168.2.100;https://www.disneyplus.com;GET;OK
00:01:24;192.168.2.2;https://www.office.com;POST;OK
00:01:35;192.168.2.2;https://www.nytimes.com;GET;OK
00:03:48;192.168.2.2;https://www.office.com;POST;OK
00:03:54;192.168.2.2;https://www.google.fr;POST;OK
00:04:17;192.168.2.3;https://www.office.com;GET;OK
00:06:11;192.168.2.2;https://www.office.com;POST;OK
00:06:35;192.168.2.2;https://www.google.fr;POST;OK
00:07:36;192.168.2.1;https://www.nytimes.com;DELETE;OK
00:08:25;192.168.2.3;https://www.office.com;GET;OK
00:09:22;192.168.2.1;https://www.google.fr;PUT;OK
00:09:33;192.168.2.3;https://www.office.com;GET;OK
00:09:46;192.168.2.2;https://www.office.com;GET;OK
00:10:52;192.168.2.3;https://www.nytimes.com;DELETE;OK
00:11:13;192.168.2.2;https://www.office.com;PUT;OK
00:11:39;192.168.2.3;https://www.google.fr;DELETE;OK
00:13:03;192.168.2.1;https://www.google.fr;PUT;OK
00:13:12;192.168.2.3;https://www.google.fr;POST;OK
00:13:23;192.168.2.100;https://www.imdb.com;POST;OK
00:14:00;192.168.2.2;https://www.nytimes.com;DELETE;OK
00:14:10;192.168.2.2;https://www.disneyplus.com;PUT;OK
00:16:16;192.168.2.2;https://www.imdb.com;PUT;OK
00:17:10;192.168.2.100;https://www.disneyplus.com;POST;OK
00:17:24;192.168.2.2;https://www.google.fr;DELETE;OK
00:18:01;192.168.2.2;https://www.office.com;PUT;OK
00:22:54;192.168.2.3;https://www.nytimes.com;DELETE;OK
00:23:30;192.168.2.1;https://www.disneyplus.com;POST;OK
00:23:53;192.168.2.1;https://www.office.com;DELETE;OK
00:23:57;192.168.2.100;https://www.office.com;DELETE;OK
00:24:16;192.168.2.2;https://www.google.fr;DELETE;OK
00:24:28;192.168.2.2;https://www.google.fr;GET;OK
00:26:38;192.168.2.3;https://www.nytimes.com;PUT;OK
00:27:01;192.168.2.1;https://www.google.fr;GET;OK
00:27:20;192.168.2.100;https://www.nytimes.com;POST;OK
00:29:10;192.168.2.2;https://www.imdb.com;PUT;OK
00:32:15;192.168.2.3;https://www.nytimes.com;POST;OK
00:32:46;192.168.2.2;https://www.google.fr;DELETE;OK
00:33:16;192.168.2.1;https://www.office.com;DELETE;OK
00:35:19;192.168.2.1;https://www.imdb.com;POST;OK
00:36:14;192.168.2.3;https://www.disneyplus.com;PUT;OK
00:38:31;192.168.2.3;https://www.office.com;PUT;OK
00:39:34;192.168.2.100;https://www.google.fr;PUT;OK
00:39:49;192.168.2.2;https://www.google.fr;PUT;OK
00:41:38;192.168.2.2;https://www.disneyplus.com;GET;OK
00:42:03;192.168.2.2;https://www.google.fr;GET;OK
00:43:17;192.168.2.100;https://www.imdb.com;DELETE;OK
00:43:36;192.168.2.3;https://www.nytimes.com;DELETE;OK
00:43:43;192.168.2.100;https://www.imdb.com;GET;OK
